id,name,brand,price,unit,description,category,empfohlene_klasse
1001,"Heft DIN A4 kariert, Lineatur 22 (16 Blatt, ohne Rand)",Brunnen,0.99,Stück,"Rechenheft für Mathematik, Klasse 2. Kariert ohne Rand, 5x5 mm Kästchen, 16 Blatt.",Hefte & Blöcke,5-10
1002,"Heft DIN A4 liniert, Lineatur 21 (16 Blatt, ohne Rand)",Brunnen,0.99,Stück,"Schul- und Schreibheft für Deutsch, Klasse 2–4. Liniert ohne Rand, Zeilenabstand 10 mm, 16 Blatt.",Hefte & Blöcke,5-10
1003,"Vokabelheft DIN A5, Lineatur 53 (32 Blatt, zweispaltig/dreispaltig)",Oxford,1.29,Stück,"Vokabelheft für Fremdsprachen, Klasse 2+. Zweispaltige oder dreispaltige Anordnung, kariert 5x5 mm, 32 Blatt.",Hefte & Blöcke,5-10
1004,"Bleistift HB, Grip 2001",Faber-Castell,1.5,Stück,"Bleistift mit ergonomischer Grip-Zone, Härtegrad HB, ideal für die Schule.",Schreibgeräte & Zubehör,alle
1005,"Buntstifte 12er Set, dreikant",Pelikan,4.99,Packung,"12 dreikantige Buntstifte, bruchgeschützt mit leuchtenden Farben, ideal für Grundschule.",Schreibgeräte & Zubehör,alle
1006,Radiergummi Plast-Clean,Läufer,0.8,Stück,"Plastik-Radiergummi, radiert sauber und ohne zu schmieren, hinterlässt keine Schlieren.",Schreibgeräte & Zubehör,alle
1007,"Füllfederhalter Safari, Federstärke M",Lamy,19.9,Stück,"Füllfederhalter mit mittlerer Federstärke (M), ergonomischer Griff, für Rechtshänder geeignet.",Schreibgeräte & Zubehör,alle
1008,"Tintenpatronen blau, T10 (5er Pack)",Lamy,1.8,Packung,"5 königsblaue Tintenpatronen, kompatibel mit Lamy Füllfederhaltern (T10-System).",Schreibgeräte & Zubehör,3-4
1009,Tuschkasten K12 (12 Farben),Pelikan,9.95,Stück,"Deckfarbkasten mit 12 hochwertigen Wasserfarben inkl. Deckweiß, für den Kunstunterricht.",Malen & Zeichnen,alle
1010,"Borstenpinsel-Set (Größen 4, 8, 12)",Da Vinci,3.5,Set,"3 Borstenpinsel in den Größen 4, 8 und 12, geeignet für Wasserfarben und Acrylfarben.",Malen & Zeichnen,alle
1011,"Geodreieck 16 cm, transparent",Aristo,1.2,Stück,"Geometrie-Dreieck, 16 cm Länge mit Tuschekante und klarer cm-Einteilung.",Geometrie & Messen,3-4
1012,Schulkompass / Zirkel,Staedtler,8.5,Stück,"Präzisionszirkel mit Verlängerungsschenkel, sicherer Spitzenhalt für den Geometrieunterricht.",Geometrie & Messen,3-4
1013,Collegeblock A4 kariert (80 Blatt),Brunnen,1.79,Stück,"80 Blatt kariertes Papier, mit Lochung und Mikroperforation zum sauberen Heraustrennen.",Hefte & Blöcke,alle
1014,Zeichenblock A3 (20 Blatt),Clairefontaine,2.49,Stück,"20 Blatt saugstarkes Zeichenpapier (120 g/m²) für Bleistift, Filzstift und Wasserfarben.",Malen & Zeichnen,alle
1015,"Schnellhefter A4, Kunststoff blau",Durable,0.5,Stück,"Kunststoff-Schnellhefter für Klassenarbeiten und Arbeitsblätter, Format DIN A4, Farbe blau.",Schnellhefter & Ordner,alle
1016,"Schnellhefter A4, Kunststoff rot",Durable,0.5,Stück,"Kunststoff-Schnellhefter für Klassenarbeiten und Arbeitsblätter, Format DIN A4, Farbe rot.",Schnellhefter & Ordner,alle
1017,"Schnellhefter A4, Kunststoff grün",Durable,0.5,Stück,"Kunststoff-Schnellhefter für Klassenarbeiten und Arbeitsblätter, Format DIN A4, Farbe grün.",Schnellhefter & Ordner,alle
1018,"Anspitzer-Dose, Trio Grip",Faber-Castell,2.99,Stück,"Anspitzer-Dose mit drei verschiedenen Öffnungen (für Bleistifte und Buntstifte), Sicherheitsanspitzer.",Schreibgeräte & Zubehör,alle
1019,"Lineal 30 cm, Kunststoff transparent",Brunnen,1.1,Stück,"Transparentes Kunststoff-Lineal, 30 cm Länge mit klarer Skalierung, für Schule und Büro.",Geometrie & Messen,alle
1020,"Bastelschere rund, 13 cm (Rechtshänder)",Prym,2.2,Stück,"Bastelschere mit runder Spitze, 13 cm Länge, für Rechtshänder, sicher für Kinder.",Schreibgeräte & Zubehör,alle
1021,"Umschlag DIN A4, rot",Brunnen,0.45,Stück,"Einband-Umschlag aus festem Papier, Format DIN A4, Farbe rot, zum Schutz von Heften und Mappen.",Umschläge & Einbände,alle
1022,"Umschlag DIN A4, grün",Brunnen,0.45,Stück,"Einband-Umschlag aus festem Papier, Format DIN A4, Farbe grün, zum Schutz von Heften und Mappen.",Umschläge & Einbände,alle
1023,"Umschlag DIN A4, blau",Brunnen,0.45,Stück,"Einband-Umschlag aus festem Papier, Format DIN A4, Farbe blau, zum Schutz von Heften und Mappen.",Umschläge & Einbände,alle
1024,"Umschlag DIN A4, weiß",Brunnen,0.45,Stück,"Einband-Umschlag aus festem Papier, Format DIN A4, Farbe weiß, zum Schutz von Heften und Mappen.",Umschläge & Einbände,alle
1025,"Umschlag DIN A5, rot",Brunnen,0.45,Stück,"Einband-Umschlag aus festem Papier, Format DIN A5, Farbe rot, für Vokabelhefte und kleine Hefte.",Umschläge & Einbände,alle
1026,"Umschlag DIN A5, grün",Brunnen,0.45,Stück,"Einband-Umschlag aus festem Papier, Format DIN A5, Farbe grün, für Vokabelhefte und kleine Hefte.",Umschläge & Einbände,alle
1027,"Umschlag DIN A5, blau",Brunnen,0.45,Stück,"Einband-Umschlag aus festem Papier, Format DIN A5, Farbe blau, für Vokabelhefte und kleine Hefte.",Umschläge & Einbände,alle
1028,"Umschlag DIN A5, weiß",Brunnen,0.45,Stück,"Einband-Umschlag aus festem Papier, Format DIN A5, Farbe weiß, für Vokabelhefte und kleine Hefte.",Umschläge & Einbände,alle
1031,"Heft DIN A4 liniert, Lineatur 2G (16 Blatt, Geschichtenheft)",Oxford,1.99,Stück,"Geschichtenheft für Deutsch, Klasse 2. Liniert mit besonderer Grundschul-Lineatur (2G), 16 Blatt.",Hefte & Blöcke,1-2
1032,Zeichenblock A4 (20 Blatt),Clairefontaine,1.49,Stück,"20 Blatt Zeichenpapier (120 g/m²) für Buntstifte, Filzstifte und leichte Wasserfarben.",Malen & Zeichnen,alle
1033,"Heft DIN A5, Lineatur 0 (16 Blatt, Schreibhäuschen)",Brunnen,0.99,Stück,"Schreiblernheft mit Schreibhäuschen, Vorschule und Klasse 1. Kontrastlineatur, 16 Blatt.",Hefte & Blöcke,1-2
1034,"Heft DIN A5 liniert, Lineatur 1 mit Kontrast (16 Blatt)",Brunnen,0.99,Stück,"Schreiblernheft für Klasse 1. Vier Linien pro Zeile, Abstand 5 mm, Kontrastlineatur, 16 Blatt.",Hefte & Blöcke,1-2
1035,"Heft DIN A5 liniert, Lineatur 2 mit Kontrast (16 Blatt)",Brunnen,0.99,Stück,"Mitteilungsheft für Klasse 2. Vier Linien pro Zeile, Abstand 4 mm, Kontrastlineatur, 16 Blatt.",Hefte & Blöcke,1-2
1036,"Heft DIN A5 liniert, Lineatur 3 (16 Blatt)",Brunnen,0.99,Stück,"Mitteilungsheft für Klasse 3. Zwei Linien pro Zeile, Abstand 3,5 mm, 16 Blatt.",Hefte & Blöcke,3-4
1037,"Heft DIN A5 liniert, Lineatur 3R mit Rand (16 Blatt)",Brunnen,0.99,Stück,"Mitteilungsheft für Klasse 3. Zwei Linien, Abstand 3,5 mm, mit weißem Seitenrand, 16 Blatt.",Hefte & Blöcke,3-4
1038,"Heft DIN A5 liniert, Lineatur 4 (16 Blatt)",Brunnen,0.99,Stück,"Schulheft für Klasse 4. Liniert mit Zeilenabstand 10 mm, 16 Blatt.",Hefte & Blöcke,3-4
1039,"Heft DIN A5 kariert, Lineatur 5 (16 Blatt)",Brunnen,0.99,Stück,"Rechenheft für Mathematik, Klasse 2+. Kariert ohne Rand, 5x5 mm Kästchen, 16 Blatt.",Hefte & Blöcke,5-10
1040,"Heft DIN A5 kariert, Lineatur 7 (16 Blatt)",Brunnen,0.99,Stück,"Rechenheft für Mathematik, Klasse 1 und 2. Große Kästchen (7x7 mm), ohne Rand, 16 Blatt.",Hefte & Blöcke,5-10
1041,"Heft DIN A5 kariert, Lineatur 10 (16 Blatt, mit Umrandung)",Brunnen,0.99,Stück,"Schreiblern- und Rechenheft, Klasse 1–2. Kariert 5x5 mm mit Rand, 16 Blatt.",Hefte & Blöcke,5-10
1042,"Heft DIN A4 liniert, Lineatur 25 mit Rand (16 Blatt)",Brunnen,0.99,Stück,"Schreibheft für Deutsch, Klasse 2–4. Liniert mit Rand, Zeilenabstand 10 mm, 16 Blatt.",Hefte & Blöcke,5-10
1043,"Heft DIN A4 kariert, Lineatur 26 mit Rand (16 Blatt)",Brunnen,0.99,Stück,"Rechenheft für Mathematik, Klasse 2+. Kariert 5x5 mm mit Rand, 16 Blatt.",Hefte & Blöcke,5-10
1044,"Heft DIN A4 liniert, Lineatur 27 mit Doppelrand (16 Blatt)",Brunnen,0.99,Stück,"Regelheft, Klasse 2 und ab Klasse 5. Liniert mit Doppelrand, Zeilenabstand 10 mm, 16 Blatt.",Hefte & Blöcke,5-10
1045,"Heft DIN A4 kariert, Lineatur 28 mit Doppelrand (16 Blatt)",Brunnen,0.99,Stück,"Rechenheft für Mathematik, Klasse 2 und ab Klasse 5. Kariert 5x5 mm mit Doppelrand, 16 Blatt.",Hefte & Blöcke,5-10
1046,"Schnellhefter A4, Kunststoff weiß",Durable,0.5,Stück,"Kunststoff-Schnellhefter für Klassenarbeiten und Arbeitsblätter, Format DIN A4, Farbe weiß.",Schnellhefter & Ordner,alle
1047,"Haarpinsel-Set (Größen 4, 8, 12)",Da Vinci,3.5,Set,"3 Haarpinsel in den Größen 4, 8 und 12, hervorragend für Aquarell- und Wasserfarbtechniken.",Malen & Zeichnen,alle
1048,Block buntes Tonpapier DIN A4,Brunnen,2.99,Stück,"Block mit 50 Blatt buntem Tonpapier im Format DIN A4, für Bastel- und Kunstprojekte.",Malen & Zeichnen,alle
1049,Eckspannmappe rot,Pelikan,2.3,Stück,"Eckspannmappe (Sammelordner) aus Karton, Format DIN A4, Farbe rot.",Dokumentenmappen,alle
1050,Eckspannmappe blau,Pelikan,2.3,Stück,"Eckspannmappe (Sammelordner) aus Karton, Format DIN A4, Farbe blau.",Dokumentenmappen,alle
1051,Eckspannmappe grün,Pelikan,2.3,Stück,"Eckspannmappe (Sammelordner) aus Karton, Format DIN A4, Farbe grün.",Dokumentenmappen,alle
1052,Eckspannmappe weiß,Pelikan,2.3,Stück,"Eckspannmappe (Sammelordner) aus Karton, Format DIN A4, Farbe weiß.",Dokumentenmappen,alle
1053,Eckspannmappe gelb,Pelikan,2.3,Stück,"Eckspannmappe (Sammelordner) aus Karton, Format DIN A4, Farbe gelb.",Dokumentenmappen,alle
1054,"Schnellhefter A4, Kunststoff schwarz",Durable,0.5,Stück,"Kunststoff-Schnellhefter für Klassenarbeiten und Arbeitsblätter, Format DIN A4, Farbe schwarz.",Schnellhefter & Ordner,alle
